,Name,Year
1021,Monster Family,2018
1022,The Fate of the Furious,2018
1023,Ocean's 8,2018
1024,Overlord,2018
1025,Creed II,2018
1026,First Man,2018
1027,Leave No Trace,2018
1028,Mission: Impossible – Fallout,2018
1029,American Animals,2018
1030,Papillon,2018
1031,Thoroughbreds,2018
1032,Fahrenheit 11/9,2018
1033,The Favourite,2018
1034,Hotel Artemis,2018
1035,Jurassic World: Fallen Kingdom,2018
1036,I Feel Pretty,2018
1037,The Cloverfield Paradox,2018
1038,Terminal,2018
1039,Down a Dark Hall,2018
1040,Beautiful Boy,2018
1041,Armed,2018
1042,Avengers: Infinity War,2018
1043,Eighth Grade,2018
1044,Lizzie,2018
1045,Johnny English Strikes Again,2018
1046,Robin Hood,2018
1047,Josie,2018
1048,The Predator,2018
1049,The 15:17 to Paris,2018
1050,Operation Finale,2018
1051,Humor Me,2018
1052,The Miracle Season,2018
1053,Bumblebee,2018
1054,Deadpool 2,2018
1055,Puzzle,2018
1056,Mile 22,2018
1057,The Strangers: Prey at Night,2018
1058,Alpha,2018
1059,Black Mirror: Bandersnatch,2018
